id,app,name,applied
1,contenttypes,0001_initial,2026-02-09 17:04:19.415824
2,auth,0001_initial,2026-02-09 17:04:19.439360
3,admin,0001_initial,2026-02-09 17:04:19.462330
4,admin,0002_logentry_remove_auto_add,2026-02-09 17:04:19.478622
5,admin,0003_logentry_add_action_flag_choices,2026-02-09 17:04:19.490370
6,contenttypes,0002_remove_content_type_name,2026-02-09 17:04:19.510826
7,auth,0002_alter_permission_name_max_length,2026-02-09 17:04:19.525190
8,auth,0003_alter_user_email_max_length,2026-02-09 17:04:19.540242
9,auth,0004_alter_user_username_opts,2026-02-09 17:04:19.552739
10,auth,0005_alter_user_last_login_null,2026-02-09 17:04:19.566982
11,auth,0006_require_contenttypes_0002,2026-02-09 17:04:19.576642
12,auth,0007_alter_validators_add_error_messages,2026-02-09 17:04:19.588398
13,auth,0008_alter_user_username_max_length,2026-02-09 17:04:19.612633
14,auth,0009_alter_user_last_name_max_length,2026-02-09 17:04:19.632656
15,auth,0010_alter_group_name_max_length,2026-02-09 17:04:19.652473
16,auth,0011_update_proxy_permissions,2026-02-09 17:04:19.666146
17,auth,0012_alter_user_first_name_max_length,2026-02-09 17:04:19.682325
18,notes,0001_initial,2026-02-09 17:04:19.693133
19,sessions,0001_initial,2026-02-09 17:04:19.713421
20,notes,0002_note_user,2026-02-09 18:02:17.158105
21,notes,0003_note_due_date_note_is_completed,2026-02-13 17:12:14.079737
22,notes,0004_alter_note_options_note_category_note_priority_and_more,2026-02-13 17:20:33.142938
